nome,ocupacao,data_nascimento,data_morte,conteudo
Ingrid Bergman, Atriz sueca,29/08/1919,29/08/1982 (aos 63 anos),"Ingrid Bergman (1915-1982) foi uma atriz sueca. ""Casablanca"", ""Por Quem os Sinos Dobram"", ""À Meia Luz"" e ""O Médico e o Monstro"", foram filmes que imortalizaram o seu nome."
Inezita Barroso," Cantora, atriz, apresentadora e pesquisadora brasileira",04/03/1925,08/03/2015 (aos 90 anos),"Ignez Magdalena Aranha de Lima, conhecida pelo grande público apenas como Inezita Barroso, foi uma importante cantora, atriz, apresentadora de rádio e televisão e pesquisadora brasileira."
Inês de Castro, Nobre da região de Castela,não informado,não informado,"Inês de Castro (1325-1355) foi uma nobre dama da região de Castela, na Espanha. Fez parte da corte de Constança quando esta foi a Portugal para casar com o infante Pedro, filho do rei Afonso IV."
Indira Gandhi, Primeira-ministra indiana,19/11/1917,31/10/1984 (aos 66 anos),Indira Gandhi (1917-1984) foi primeira-ministra da Índia entre os anos de 1966 e 1977 e entre 1980 e 1984. A primeira mulher a ocupar o cargo de chefe do governo indiano.
Immanuel Kant, Filósofo alemão,22/04/1724,12/02/1804 (aos 79 anos),"Immanuel Kant (1724-1804) foi um filósofo alemão, fundador da “Filosofia Crítica” - sistema que procurou determinar os limites da razão humana. Sua obra é considerada a pedra angular da filosofia moderna."
Igor Stravinski, Compositor e maestro russo,17/06/1882,06/04/1971 (aos 88 anos),"Igor Stravinski (1882-1971) foi um compositor, maestro e pianista russo, autor de “Pássaro de Fogo”, balé que o tornou célebre. Tornou-se um dos mais importantes compositores do Século XX."
Ignácio de Loyola Brandão, Escritor brasileiro,31/07/1936,não informado,"Ignácio de Loyola Brandão (1936) é um escritor e jornalista brasileiro. Eleito para a Academia Brasileira de Letras, em 2019, é autor de uma vasta produção literária, entre romances, contos e crônicas."
Ícaro Silva, Ator brasileiro,19/03/1987,não informado,"Ícaro Silva (1987) é ator, cantor, apresentador de televisão e escritor.  "
Iberê Camargo, Pintor brasileiro,18/11/1914,08/08/1994 (aos 79 anos),"Iberê Camargo (1914-1994) foi um pintor, gravador, desenhista e professor brasileiro. Conhecido pelos carretéis, pelos ciclistas e pelas figuras amorfas que ele dava o nome de “idiotas”."
Ian Fleming, Escritor e jornalista inglês,28/05/1908,12/08/1964 (aos 56 anos),"Ian Fleming (1908-1964) foi um escritor e jornalista inglês. Criou o personagem James Bond, que se tornou famoso no mundo inteiro como o ""Agente 007"". Foi oficial da Inteligência Naval do Reino Unido."
Humberto Teixeira, Compositor brasileiro,05/01/1915,03/10/1979 (aos 64 anos),"Humberto Teixeira (1915-1979) foi um compositor, advogado e deputado federal. Tornou-se conhecido como o parceiro de Luiz Gonzaga e autor da letra da imortal “Asa Branca”."
Humberto de Campos, Escritor brasileiro,25/10/1886,05/12/1934 (aos 48 anos),"Humberto de Campos (1886-1934) foi um escritor, jornalista e político brasileiro. Escreveu crônicas, contos, ensaios, poemas e crítica literária. Foi eleito para a cadeira nº 20 da Academia Brasileira de Letras."
Hugo Grotius, Jurista holandês,10/04/1583,28/08/1645 (aos 62 anos),"Hugo Grotius (1583-1645) foi um jurista holandês, considerado um dos fundadores do Direito Internacional. Foi também diplomata, poeta, dramaturgo e historiador. É o autor da obra “O Direito da Guerra e Paz”. Desenvolveu a doutrina da guerra justa, já estabelecida por St. Agostinho."
Hugo Chávez, Ex-presidente da Venezuela,28/07/1954,05/03/2013 (aos 58 anos),"Hugo Chávez (1954-2013) foi o 56.º presidente da Venezuela, cargo que exerceu durante 14 anos, de 1999 a 2013, ano de sua morte. Com um governo populista promoveu o que denominou de “socialismo do século XXI”. Foi militar das Forças Armadas onde ocupou a patente de tenente-coronel.  "
Horácio, Poeta romano,não informado,não informado,"Horácio (65 a.C.-8 a.C.) foi um poeta lírico, satírico e moralista político, o primeiro literato profissional romano. Exerceu enorme influência sobre toda a literatura ocidental."
Homero, Poeta grego,não informado,não informado,"Homero (850 a. C.) foi um poeta épico da Grécia Antiga, autor das obras-primas ""Ilíada"" e ""Odisseia"", que narram as aventuras dos heróis gregos da guerra de Troia, e que tiveram grande influência na literatura ocidental."
Homer, Personagem da série animada Os Simpsons,não informado,não informado,"Homer é um personagem fictício da série animada norte-americana, “Os Simpsons”, criada pelo desenhista Mall Groening e exibida pela primeira vez em 19 de abril de 1987. Com diversas temporadas e centenas de episódios é a série animada da TV com mais tempo no ar."
Hippolyte Taine, Historiador francês,21/04/1828,05/03/1893 (aos 64 anos),"Hippolyte Taine (1828-1893) foi um historiador, crítico literário e pensador francês. Foi um importante representante do Positivismo Francês do Século XIX."
Hipócrates, Médico grego,não informado,não informado,"Hipócrates (460 a.C.-377 a.C.) foi um médico grego, considerado o pai da Medicina, o mais célebre médico da Antiguidade e o iniciador da observação clínica."
Hipátia, Filósofa e matemática grega,não informado,não informado,Hipátia de Alexandria (também conhecida como Hipácia ou Hypatia) é considerada a primeira mulher matemática do mundo.
Hilton Sette, Professor brasileiro,30/07/1911,20/12/1997 (aos 86 anos),"Hilton Sette (1911-1997) foi professor brasileiro. Membro da Academia Pernambucana de Letras, titular da Cadeira nº 9. Foi também geógrafo, escritor didático e ficcionista."
Hillary Clinton, Política norte-americana,26/10/1947,não informado,"Hillary Clinton (1947) é uma política e destacada advogada norte-americana. Ex-primeira-dama, senadora e secretária de Estado, foi a primeira mulher a concorrer à Casa Branca por um grande partido."
Hilda Hilst, Escritora brasileira,21/04/1930,04/02/2004 (aos 73 anos),"Hilda Hilst (1930-2004) foi uma poetisa, cronista, dramaturga e ficcionista brasileira. Fez parte da “Geração de 45” que buscava a reabilitação de regras mais rígidas para a composição do verso. Foi considerada uma das maiores escritoras do século XX."
Hélio Oiticica, Artista plástico brasileiro,26/07/1937,22/03/1980 (aos 42 anos),"Hélio Oiticica (1937-1980) foi um artista plástico brasileiro. Pintor, escultor e destacado artista performático, foi um dos grandes nomes da Arte Concreta no Brasil."
Hélio Gracie, Lutador de Jiu-jitsu,01/10/1913,29/01/2009 (aos 95 anos),"Hélio Gracie (1913-2009) foi um lutador de Jiu-jitsu, o patriarca da família Gracie, responsável pela difusão do Jiu-jitsu no Brasil."
Helena Kolody, Poetisa brasileira,12/10/1912,15/02/2004 (aos 91 anos),"Helena Kolody (1912-2004) foi uma poetisa brasileira, considerada uma das maiores representantes literárias do Estado do Paraná."
Helen Keller, Escritora e ativista social,27/06/1880,01/06/1968 (aos 87 anos),"Helen Keller (1880-1968) foi uma escritora e ativista social norte-americana. Cega e surda formou-se em filosofia e lutou em defesa dos direitos sociais, em defesa das mulheres e das pessoas com deficiência. Foi a primeira pessoa cega e surda a entrar para uma instituição de ensino superior."
Heitor dos Prazeres, Compositor e cantor brasileiro.,23/09/1898,04/10/1966 (aos 68 anos),"Heitor dos Prazeres (1898-1966) foi um compositor, cantor e artista plástico brasileiro. Em parceria com Noel Rosa compôs a famosa música carnavalesca “Pierrô Apaixonado”."
Hector Babenco," Cineasta argentino, naturalizado brasileiro",07/02/1946,13/07/2016 (aos 70 anos),Hector Babenco (1946-2016) foi um cineasta argentino e naturalizado brasileiro. Foi indicado ao Oscar de Melhor Diretor no filme “O Beijo da Mulher Aranha”.
Harry Potter, Personagem inglês,31/07/1980,não informado,"Harry Potter (1980) é um personagem fictício criado pela escritora britânica J.K. Rowling. Formada por sete livros, a série fascinou milhares de leitores por todo o mundo, vendeu milhares de livros e foi adaptada para o cinema com enorme sucesso de bilheteria. Cada livro narra um ano da vida do pequeno bruxo, dos 11 aos 17 anos, quando frequentou a escola de bruxos ""Hogwarts""."
Harrison Ford, Ator norte-americano,13/07/1942,não informado,"Harrison Ford (1942) é um ator norte-americano. Brilhou no cinema por sua atuação como ""Han Solo"" na saga ""Star Wars"" e como ""Indiana Jones"" na série criada por George Lucas e dirigida por Steve Spielberg."
Heitor Villa-Lobos, Compositor brasileiro,05/03/1887,17/11/1959 (aos 72 anos),"Heitor Villa-Lobos (1887-1959) foi um maestro e compositor brasileiro, considerado um expoente da música erudita no Brasil. Suas peças são executadas no circuito dos mais prestigiados teatros europeus e americanos."
Harriet Martineau, Jornalista britânica,12/06/1802,27/06/1876 (aos 74 anos),"Harriet Martineau (1802-1876) foi uma jornalista, novelista, ensaísta e economista política britânica. Foi importante ativista da emancipação da mulher."
Harper Lee, Escritora norte-americana,28/04/1926,19/02/2016 (aos 89 anos),"Harper Lee (1926-2016) foi uma escritora norte-americana, autora do livro “O Sol É Para Todos”, Prêmio Pulitzer de Ficção em 1961."
Hans Christian Andersen, Escritor dinamarquês,02/04/1805,04/08/1875 (aos 70 anos),"Hans Christian Andersen (1805-1875) foi um escritor dinamarquês, autor de famosos contos infantis, como “Soldadinho de Chumbo”, “Patinho Feio”, “A Pequena Sereia”, “A Roupa Nova do Rei”, entre outros."
Hans Staden, Aventureiro alemão,não informado,não informado, Aventureiro alemão
Hannah Arendt, Filósofa alemã,14/10/1906,04/12/1975 (aos 69 anos),"Hannah Arendt (1906-1975) nasceu no subúrbio de Linden, em Hannover, Alemanha, no dia 14 de outubro de 1906. Quando tinha três anos sua família mudou-se para a Prússia."
Hamilton Mourão, Vice-presidente do Brasil,15/08/1953,não informado,Hamilton Mourão (1953) é um general da reserva do Exército Brasileiro e o vice-presidente da República no governo de Jair Bolsonaro.
Guy Debord, Escritor e cineasta francês,28/12/1931,30/11/1994 (aos 62 anos), Escritor e cineasta francês
Haile Selassie, Ex-imperador da Etiópia,23/07/1892,27/08/1975 (aos 83 anos), Ex-imperador da Etiópia
Hades, Deus na mitologia grega,não informado,não informado,"Hades, na mitologia grega, era tido como o deus do reino dos mortos e o deus da riqueza. Na mitologia romana, por sua vez, Hades ficou conhecido como Plutão."
Gusttavo Lima, Cantor e compositor brasileiro,03/09/1989,não informado,"Gusttavo Lima (1989) é um cantor e compositor brasileiro, um dos maiores nomes da música sertaneja. Entres seus sucessos destacam-se: Balada Boa, Gatinha Assanhada e A Gente Fez Amor."
Gustavo Cerbasi, Escritor e consultor brasileiro,24/04/1974,não informado,"Gustavo Cerbasi (1974) é um escritor, professor, consultor financeiro e palestrante brasileiro. Seus livros estão entre os mais vendidos, com destaque para “Casais Inteligentes Enriquecem Juntos” e “Dinheiro - os Segredos de Quem Tem”. A revista Época o considerou uma das maiores personalidades de 2009."
Gustavo Kuerten, Ex-tenista brasileiro,10/09/1976,não informado,"Gustavo Kuerten (1976) é um ex-tenista brasileiro. Vencedor de três torneios de Roland Garros é o segundo brasileiro a entrar para o Hall da Fama do Tênis, honraria até então só concedida a Maria Esther Bueno."
Gustavo Rosa, Artista plástico brasileiro,20/12/1946,12/11/2013 (aos 66 anos),"Gustavo Rosa (1946-2013) foi um artista plástico brasileiro, conhecido por suas figuras coloridas, alegres, bem humoradas e de apelo popular e comercial."
Gustave Courbet, Pintor francês,10/06/1819,31/12/1877 (aos 58 anos), Pintor francês
Gustav Klimt, Pintor austríaco,14/07/1862,06/02/1918 (aos 55 anos),"Gustav Klimt (1862-1918) foi um pintor simbolista austríaco, líder do “Movimento da Secessão de Viena” – grupo de artistas que se desligou do academicismo da pintura e aderiu ao Simbolismo."
Gustave Flaubert, Escritor francês,21/12/1821,08/05/1880 (aos 58 anos),"Gustave Flaubert (1821-1880) foi escritor francês, autor do romance ""Madame Bovary"" que o levou aos tribunais. Foi acusado de ofensa a moral e a religião. Foi absolvido pela Sexta Corte Correcional do Tribunal do Sena e condenado pelos puritanos, pelo tema adultério, pela crítica ao clero e à burguesia. É um dos representantes mais importantes do realismo francês."
Guimarães Rosa, Escritor brasileiro,27/06/1908,19/11/1967 (aos 59 anos),"Guimarães Rosa (1908-1967) foi um escritor brasileiro. O romance ""Grandes Sertões: Veredas"" é sua obra prima. Fez parte do 3.º Tempo do Modernismo, caracterizado pelo rompimento com as técnicas tradicionais do romance."
Guimarães Júnior, Poeta brasileiro,17/02/1845,20/03/1898 (aos 53 anos),"Guimarães Júnior (1845-1898) foi um poeta, romancista, teatrólogo e diplomata brasileiro. Sua obra poética mais conhecida é “Visita à Casa Paterna”. Foi membro fundador da Academia Brasileira de Letras."
Guilherme Boulos, Político brasileiro,19/06/1982,não informado,"Guilherme Castro Boulos é um professor, ativista, escritor, coordenador do MTST e da frente Povo Sem Medo. Em 2018 foi candidato à Presidência da República. "
Guilherme Marconi, Cientista italiano,25/04/1874,20/06/1937 (aos 63 anos),Guilherme Marconi (1874-1937) foi cientista italiano. Inventou o telégrafo sem fio. Recebeu o Prêmio Nobel de Física. Foi membro do Conselho Nacional de Pesquisa da Itália e doutor honoris causa de quinze universidades pelo mundo.
Guilherme de Almeida, Poeta brasileiro,24/07/1890,11/07/1969 (aos 78 anos),"Guilherme de Almeida (1890-1969) foi um poeta brasileiro. O primeiro modernista a frequentar a Academia Brasileira de Letras. Ocupou a cadeira n.º 15. Era membro da Academia Paulista de Letras, do Instituto Histórico e Geográfico de São Paulo, do Instituto de Coimbra e do Seminário de Estudos Galegos de Santiago de Compostela. Foi também advogado, jornalista e tradutor."
Guilherme Araújo, Produtor musical,30/11/1935,21/03/2007 (aos 71 anos),"Guilherme Araújo (1936-2007) foi um produtor musical e empresário brasileiro, considerado o mentor do Tropicalismo."
Gugu Liberato, Apresentador de televisão brasileiro,10/04/1959,22/11/2019 (aos 60 anos),Antônio Augusto de Moraes Liberato foi um reconhecido apresentador de televisão brasileiro que esteve no ar durante décadas.
Grigori Rasputin, Místico russo,22/01/1869,30/12/1916 (aos 47 anos),"Grigori Rasputin (1869-1916) foi um monge, fanático religioso e místico russo. Personagem poderoso do final da era czarina foi favorito da corte do czar Nicolau II e Alexandra Feodorovna. Ganhou fama de ter poderes sobrenaturais, foi chamado de “o monge maluco”."
Guerra Junqueiro, Poeta português,17/09/1850,07/07/1923 (aos 72 anos),"Guerra Junqueiro (1850-1923) foi um poeta, prosador, jornalista e político português. Foi um dos mais destacados escritores do Realismo, movimento literário que reproduz a ação social e política da segunda metade do século XIX."
Gretchen," Cantora, atriz e dançarina brasileira",29/05/1959,não informado,"Gretchen (1959) é uma cantora, dançarina, atriz e youtuber brasileira. Famosa por seus rebolados, foi considerada a “rainha do bumbum”."
Greta Thunberg, Ativista sueca,03/01/2003,não informado,Greta Ernman Thunberg é atualmente uma importante ativista pelo meio ambiente. Sua luta começou na Suécia e se espalhou pelo resto do mundo.
Gregório VII, Papa (1073-1085),não informado,não informado,"Gregório VII (1020-1085) foi um dos papas mais notáveis da Idade Média, reformou as instituições eclesiásticas e reforçou a autoridade da Igreja em relação ao poder temporal."
Glauber Rocha, Cineasta brasileiro,14/03/1939,22/08/1981 (aos 42 anos),"Glauber Rocha (1939-1981) foi cineasta brasileiro. Um dos responsáveis pelo movimento de vanguarda intitulado “Cinema Novo”. Produziu filmes de grande repercussão, entre eles, ""Terra em Transe"" e ""Deus e o Diabo na Terra do Sol""."
Gisele Bündchen, Modelo brasileira,20/07/1980,não informado,"Gisele Bündchen (1980) é uma modelo, empresária e ativista ambiental brasileira, considerada uma das modelos mais bem sucedidas do mundo da moda."
Glamour Garcia, Atriz brasileira,16/09/1988,não informado,"Daniela Garcia Machado, conhecida popularmente como Glamour Garcia, é uma jovem atriz brasileira que vem ganhando cada vez mais destaque na mídia."
Giuseppe Verdi, Músíco italiano,10/10/1813,27/01/1901 (aos 87 anos),"Giuseppe Verdi (1813-1901) foi músico italiano. Autor das óperas, ""Otello"", ""La Traviata"", ""Rigoletto"", ""Il Travatore"", ""Aída"", entre outras. Foi o maior músico italiano do século XIX."
Giuseppe Garibaldi, Guerrilheiro italiano,04/07/1807,02/06/1882 (aos 74 anos),"Giuseppe Garibaldi (1807-1882) foi um militar e guerrilheiro italiano. Participou do movimento nacionalista ""Jovem Itália"" que pretendia a unificação de toda a península sob a forma de república."
Giotto, Pintor e arquiteto italiano,08/01/1337,não informado,"Giotto (1266-1337) foi um pintor italiano, considerado o primeiro expoente da Pintura Renascentista. Autor do desenho do ""Campanário de Giotto"", torre que se ergue na Praça do Dumo, junto à Catedral Santa Maria del Fior, de Florença. Realizou obras em Assis, Roma, Pádua, Florença, Nápoles e Bolonha."
Giorgio Vasari, Pintor italiano,30/07/1511,27/06/1574 (aos 62 anos),"Giorgio Vasari (1511-1574) foi um pintor, arquiteto e biógrafo italiano, produziu suas obras na fase mais tardia do Renascimento. Tornou-se famoso ao escrever biografias dos artistas da Renascença italiana, que se tornaram essenciais para a história desse período."
Giorgio Morandi, Pintor italiano,20/07/1890,18/06/1964 (aos 73 anos),Giorgio Morandi (1890-1964) foi um dos maiores pintores italianos do século XX. Mestre das naturezas-mortas e das paisagens silenciosas e estáticas.
Giordano Bruno, Filósofo italiano,não informado,não informado,"Giordano Bruno (1548-1600) foi um filósofo, escritor e teólogo italiano. Acusado de heresia foi condenado à morte na fogueira pela Santa Inquisição."
Gina Lollobrigida, Atriz italiana,04/07/1927,não informado,"Gina Lollobrigida (1927) é uma atriz italiana. Atuou em diversos filmes na Itália, nos Estados Unidos e na França. Padrão de beleza dos anos 50 era considerada a mulher mais linda do mundo."
Gilmar Mendes, Advogado brasileiro,30/12/1955,não informado,"Gilmar Ferreira Mendes é um advogado, professor e político brasileiro. Desde junho de 2002 atua como ministro do STF e desde 2008 é presidente da mesma instituição."
Gilberto Gil, Músico brasileiro,26/06/1942,não informado,"Gilberto Gil (1942) é um músico brasileiro. Cantor, compositor e instrumentista, foi um dos criadores do Movimento Tropicalista nos anos 60. É autor de músicas consagradas como “Procissão”, “Domingo no Parque” e “Aquele Abraço”."
Giorgio de Chirico, Pintor grego,10/07/1888,20/11/1978 (aos 90 anos),"Giorgio de Chirico (1888-1978) foi um pintor grego, representante da pintura metafísica."
Gil Vicente, Dramaturgo e poeta português,não informado,não informado,"Gil Vicente (1465-1536) foi um dramaturgo e poeta português, o representante maior da literatura renascentista de Portugal antes de Camões. Criador de vários autos é considerado o fundador do teatro em Portugal."
Gilberto Freyre, Sociólogo e ensaísta brasileiro,15/03/1900,18/07/1987 (aos 87 anos),"Gilberto Freyre (1900-1987) foi um sociólogo, historiador e ensaísta brasileiro. Autor de ""Casa Grande & Senzala"" que é considerada, uma das obras mais representativa sobre a formação da sociedade brasileira. Recebeu o Prêmio Internacional La Madonnina, o Prêmio Machado de Assis, da Academia Brasileira de Letras, o Grã-cruz de Santiago de Compostela, entre outros."
Giacomo Puccini, Compositor italiano de óperas,22/12/1858,29/11/1924 (aos 65 anos),"Giacomo Puccini (1858-1924) foi um compositor italiano de óperas, autor de La Bohème, Tosca, Madame Butterfly, suas composições mais populares."
Getúlio Vargas, Ex-presidente brasileiro,19/04/1883,24/08/1954 (aos 71 anos),"Getúlio Vargas (1883-1954) foi presidente do Brasil. Permaneceu no poder por 19 anos, de 1930 a 1945 e de 1951 a 1954. A “Era Vargas” foi marcada, ao mesmo tempo, por um regime ditatorial e pela criação de diversos direitos trabalhistas, entre eles, o salário mínimo, a carteira de trabalho e as férias anuais remuneradas. Foi chamado de “o pai dos pobres”."
Gervásio Pires Ferreira, Revolucionário brasileiro,26/06/1765,09/03/1836 (aos 70 anos),"Gervásio Pires Ferreira (1765-1836) foi revolucionário brasileiro. Colaborou com o governo republicano estabelecido em Pernambuco em 1817. Manteve atitude dúbia, foi eleito presidente da junta que unificou o governo provincial e foi designado pela Corte, o primeiro presidente constitucional do Brasil."
Geraldo Vandré, Cantor e compositor brasileiro,12/09/1935,não informado,"Geraldo Pedrosa de Araújo Dias, conhecido no meio artístico como Geraldo Vandré, é um reconhecido cantor e compositor brasileiro."
Geraldo Del Rey, Ator  brasileiro,29/10/1930,25/04/1993 (aos 62 anos),"Geraldo Del Rey (1930-1993) foi um ator brasileiro. Atuou em ""O Pagador de Promessas"", ""Deus e o Diabo na Terra do Sol"" e em ""A Idade da Terra"", filmes antológicos do cinema brasileiro."
Geraldo Alckmin, Político brasileiro,07/11/1952,não informado,"Geraldo Alckmin (1952) é um político, médico e professor universitário brasileiro. Presidente do Partido da Social Democracia Brasileira (PSDB) foi governador do Estado de São Paulo. É candidato do PSDB para a Presidência da República em 2018."
Gerald Thomas, Dramaturgo e diretor teatral,01/07/1954,não informado,Gerald Thomas (1954) é um dramaturgo e diretor teatral brasileiro. Ficou conhecido por sua ousadia e irreverência que revolucionou o teatro brasileiro nas décadas de 80 e 90.
Georges Méliès, Cineasta francês,08/12/1861,21/01/1938 (aos 76 anos),"Georges Méliès (1861-1938) foi um cineasta e ilusionista francês, um dos precursores do cinema. Foi considerado um dos artistas mais inventivos do cinema mundial. Sua técnica fazia uso de fotografias para criar efeitos especiais. Seu filme mais conhecido é “Viagem à Lua”, de 1902."
Georgios Papanikolaou, Médico grego,13/05/1883,19/02/1962 (aos 78 anos),Georgios Nicholas Papanikolaou foi um importante médico e pesquisador grego. Suas investigações o levaram a desenvolver um exame capaz de fazer a detecção prematura do câncer de colo de útero. 
Georges Braque, Pintor francês,13/05/1882,31/08/1963 (aos 81 anos),"Georges Braque (1882-1963) foi um pintor francês. Junto com Pablo Picasso deu início ao Cubismo, um dos mais importantes movimentos da Arte Moderna do século XX."
George Washington, Político e militar norte-americano,22/02/1732,14/12/1799 (aos 67 anos),George Washington (1732-1799) foi o primeiro presidente da República dos Estados Unidos. Em sua homenagem foi dado seu nome à Capital Federal do país.
George W. Bush, Ex-presidente norte-americano,06/07/1946,não informado,"George W. Bush (1946) foi o 43.º presidente dos Estados Unidos. Governou o país entre os anos de 2001 e 2009. Durante seu primeiro ano de mandato, os prédios do World Trade Center foram alvo de um ataque terrorista, quando dois aviões derrubaram as torres gêmeas"
George Soros, Investidor e filantropo húngaro,12/08/1930,não informado,"George Soros é um dos homens mais ricos e influentes no mundo atualmente. Grande investidor e filantropo, é fundador da "
George VI, Ex-rei da Grã Bretanha,14/12/1895,06/02/1952 (aos 56 anos),"George VI (1895-1952) foi rei da Grã Bretanha e Irlanda do Norte entre 1936 e 1952, e imperador da Índia entre 1936 e 1947. Pai da Rainha Elizabeth II da Inglaterra, sucedeu seu pai George V."
George Sand, Escritora francesa,01/07/1804,08/06/1876 (aos 71 anos),George Sand (1804-1876) foi uma romancista e memorialista francesa que usava um pseudônimo masculino para poder publicar suas obras e ser tão respeitada quanto os escritores homes daquela época. Tornou-se uma das escritoras francesas mais populares do século XIX.
George S. Patton, Militar norte-americano,11/11/1885,21/12/1945 (aos 60 anos), Militar norte-americano
George R. R. Martin, Roteirista e escritor norte-americano,20/09/1948,não informado,"George R.R. Martin (1948) é autor e roteirista de filmes de ficção científica. É conhecido pela série Games of Thrones-Guerra dos Tronos, adaptada do Best seller de romances épicos A song of the Ice and Fire."
George Orwell, Escritor e jornalista inglês,25/06/1903,21/01/1950 (aos 46 anos),"George Orwell (1903-1950) é o pseudônimo de Eric Arthur Blair, escritor e jornalista inglês, conhecido pelo livro “1984”, cujo enredo se passa num país fictício onde há um regime político totalitário. O personagem principal do livro é um funcionário público consciente da opressão que vivia."
George Michael, Cantor britânico,25/06/1963,25/12/2016 (aos 53 anos),"George Michael (1963-2016) foi um cantor britânico, que fez sucesso com os hits “Don’t Let The Sun Go Down on Me"", ""Faith"", ""Careless Whisper"", ""Jesus To a Child"", entre outros."
George H. W. Bush, Ex-presidente norte-americano,12/06/1924,30/11/2018 (aos 94 anos),"George H. W. Bush (1924-2018) foi um político norte-americano, o 41.º presidente dos Estados Unidos. Filiado ao Partido Republicano exerceu o mandato ente 20 de janeiro de 1989 a 20 de janeiro de 1993."
George Foreman, Boxeador norte-americano,10/01/1949,não informado,George Foreman (1949) é um empresário e ex-boxeador norte-americano. Colecionou em sua carreira o maior número de nocautes consecutivos da história do boxe.
George Fox, Missionário inglês,não informado,não informado,"George Fox (1624-1691) foi missionário inglês. Criador da ""Sociedade dos Amigos"", seita religiosa que ficou conhecida pelo nome de ""Quaker""."
George Clooney, Ator norte-americano,06/05/1961,não informado,"George Clooney (1961) é um ator, diretor, produtor e roteirista de cinema e televisão norte-americana."
George Boole, Matemático inglês,02/11/1815,08/12/1864 (aos 49 anos),"George Boole (1815-1864) foi um matemático inglês, criador da ""Álgebra Booleana"", trabalho fundamental para a posterior evolução dos computadores."
George Bernard Shaw, Dramaturgo e romancista irlandês,26/06/1856,02/11/1950 (aos 94 anos),"George Bernard Shaw (1856-1950) foi um dramaturgo, crítico literário, ensaísta e romancista irlandês. ""Pigmaleão"", sua obra mais importante, foi adaptada para o cinema com o título de ""My Fair Lady"", sob a direção de George Cukor e a participação de Andrey Hepburn. Em 1925, recebeu o Prêmio Nobel de Literatura, mas recusou, afirmando ""Recusei o prêmio por estar suficientemente rico""."
Georg Simon Ohm, Físico e matemático alemão,16/03/1787,06/07/1854 (aos 67 anos),"Georg Simon Ohm (1787-1854) foi um físico e matemático alemão que definiu o novo conceito de resistência elétrica. Sua formulação matemática é conhecida como ""Lei de Ohm""."
Georg Simmel, Sociólogo e filósofo alemão,01/03/1858,28/09/1918 (aos 60 anos),"Georg Simmel, (1858-1918) foi um sociólogo e filósofo alemão, considerado o fundador da Sociologia Formal ou Sociologia das Formas Sociais."
Frei Caneca, Religioso brasileiro,20/08/1779,13/01/1825 (aos 45 anos),"Frei Caneca (1779-1825) foi um religioso e revolucionário brasileiro. Apoiou a Revolução Pernambucana de 1817 e a Confederação do Equador em 1824, movimentos pela independência do Brasil."
Frederico I Barba Roxa, Imperador do Sacro Império Romano-Germânico,não informado,não informado,"Frederico I Barba Roxa (1122-1190) foi imperador do Sacro Império Romano-Germânico de 1155 até 1190, época em que o império conheceu o seu maior esplendor. Foi reconhecido como o precursor da unidade do povo alemão."
Frederick Taylor, Engenheiro norte-americano,20/03/1856,21/03/1915 (aos 58 anos),"Frederick Taylor (1856-1915) foi um engenheiro mecânico norte-americano, considerado o pai da Administração Científica do trabalho."
Frederick Herzberg, Psicólogo e professor norte-americano,18/04/1923,19/01/2000 (aos 76 anos),"Frederick Herzberg (1923-2000) foi um psicólogo e importante professor norte-americano, um dos nomes mais influentes em gestão empresarial, autor da ""Teoria dos Dois Fatores""."
Frédéric Chopin, Pianista e compositor polones,22/02/1810,17/10/1849 (aos 39 anos),"Frédéric Chopin, (1810-1849) foi um músico polonês, radicado na França, considerado um dos mais importantes compositores para piano, admirado no mundo inteiro."
Freddie Mercury, Músico vocalista da banda britânica Queen,05/09/1946,24/11/1991 (aos 45 anos),"Freddie Mercury (1946-1991) foi músico, compositor, cantor e vocalista da banda britânica Queen. Conhecido como um dos maiores cantores de rock de todos os tempos, Freddie Mercury foi o nome artístico escolhido por Farrokh Bulsara."
Fred Astaire, Ator e dançarino norte-americano,10/05/1899,22/06/1987 (aos 88 anos),"Fred Astaire (1899-1986) foi um ator, dançarino, coreógrafo e cantor norte-americano. Exímio sapateador alcançou fama internacional nos filmes de Hollywood ao lado de grandes parceiras, como Gengis Rogers, Andrey Hepburn, Judy Garland, Ann Miller e Vera Ellen."
Franz Schubert, Compositor austríaco,31/01/1797,19/11/1828 (aos 31 anos),"Franz Schubert (1797-1828) foi um compositor erudito austríaco da época do romantismo. Foi exímio compositor do gênero lied, canção lírica e cantada."
Franz Liszt, Músico húngaro,22/10/1811,31/07/1886 (aos 74 anos),"Franz Liszt (1811-1886) foi um músico húngaro, considerado o maior pianista de sua época, aliou uma sólida cultura musical e um gosto requintado e tornou-se um grande compositor orquestral."
Franz Kafka, Escritor tcheco,03/07/1883,03/06/1924 (aos 40 anos),"Franz Kafka (1883-1924) foi escritor tcheco, de língua alemã, considerado um dos principais escritores da Literatura Moderna. Suas obras retratam a ansiedade e a alienação do homem do século XX."
Franz Boas, Antropólogo norte-americano,09/07/1858,21/12/1942 (aos 84 anos), Antropólogo norte-americano
